BUILDING ADDRESS,CARBON DIOXIDE EMISSIONS (Metric Ton CO2e),ENERGY STAR SCORE,GROSS BUILDING FLOOR AREA (ft²),PROPERTY TYPE,SITE ENERGY USE INTENSITY (EUI) (kBtu/ft²),TOTAL WATER USE (kgal),YEAR BUILT
340 S ST ANDREWS PL,155.9,28,54602.0,Multifamily Housing,48.5,5487.0,1962.0
1630 N NORTH MAIN ST,1066.3,Not Available,21140.0,Other,942.9,130.5,1963.0
1714 MCCADDEN PL,498.1,90,274127.0,Multifamily Housing,31.4,11174.1,2010.0
3217 MINES AVE,43.5,Not Available,10000.0,Other,65.6,58.3,1946.0
1630 N MAIN ST,292.1,Not Available,55872.0,Laboratory,87.9,344.9,1965.0
915 N LA BREA AVE,742.2,86.0,207726.0,Multifamily Housing,55.2,7666.4,2016.0
13051 SATICOY ST,21.7,Not Available,45000.0,Manufacturing/Industrial Plant,8.0,228.9,1960.0
611 HOOVER ST,8.1,77,19800.0,Non-Refrigerated Warehouse,6.7,7.0,1925.0
10416 WILSHIRE BLVD,481.6,Not Available,93320.0,Worship Facility,36.3,4240.7,1980.0
1141 W 2ND ST,103.6,11,13440.0,Office,127.3,64.5,1940.0
16650 SHERMAN WAY,159.3,95,50000.0,Medical Office,56.0,522.9,1990.0
1010 W 25TH ST,1.7,Not Available,8750.0,Other - Recreation,2.6,0.0,1961.0
15200 BLEDSOE ST,184.2,Not Available,61000.0,Museum,44.5,110.9,1974.0
17955 VENTURA BLVD,212.5,Not Available,30335.0,Mixed Use Property,92.4,696.1,1964.0
3400 W 6TH ST,195.3,13,36500.0,Office,88.4,160.8,1956.0
735 S BROADWAY,19.3,Not Available,21798.0,Mixed Use Property,14.6,202.7,1908.0
841 S SERRANO AVE,164.9,34,49243.0,Multifamily Housing,58.8,1977.1,1929.0
1624 S HOPE ST,186.7,34,45707.0,Multifamily Housing,65.4,1900.1,2010.0
1141 W 2ND ST,139.5,9.0,13440.0,Office,136.8,74.6,1940.0
1630 N MAIN ST,124.3,Not Available,73690.0,Other,27.9,454.9,1962.0
1753 E OLYMPIC BLVD,844.0,Not Available,214735.0,Other,55.8,4646.2,1925.0
1591 E TEMPLE WAY,131.7,22.0,31535.0,Worship Facility,63.3,2287.5,1956.0
8500 PERSHING DR,122.1,91,54795.0,Multifamily Housing,37.4,1859.7,2004.0
11761 W ROSCOE BLVD,55.7,4,22000.0,Non-Refrigerated Warehouse,41.8,192.6,1970.0
15760 VENTURA BLVD,1007.6,98.0,380941.0,Office,36.0,3729.3,1975.0
1630 N NORTH MAIN ST,144,16,69120.0,Non-Refrigerated Warehouse,34.4,426.7,1939.0
11600 WILSHIRE BLVD,249.4,85.0,60587.0,Office,59.2,1551.2,1959.0
5700 W CENTINELA AVE,244.8,11.0,60165.0,Immeuble � logements multiples,64.6,2927.5,2000.0
14201 W HUSTON ST,410.9,Not Available,13425.0,Other - Recreation,517.6,2875.1,2003.0
1402 N ALTA VISTA BLVD,75.4,100,38808.0,Multifamily Housing,32.9,1540.2,1986.0
701 S ST ANDREWS PL,27.9,100,36041.0,Multifamily Housing,12.8,1962.1,1963.0
21311 VANOWEN ST,37.8,Not Available,123180.0,Self-Storage Facility,3.7,657.0,1990.0
1141 W 2ND ST,29,Not Available,96390.0,Parking,15.8,731.0,1939.0
600 S MAIN ST,869.4,13.0,291800.0,Multifamily Housing,43.2,10527.3,1905.0
1325 N WESTERN AVE,108.6,Not Available,22037.0,Multifamily Housing,82.8,2323.4,1996.0
315 N ISLAND AVE,14.4,94,8184.0,Office,29.0,54.6,1961.0
11805 W SHELDON ST,19.5,91,10800.0,Office,29.8,0.0,1988.0
231 W VERNON AVE,16.4,99,22219.0,Office,12.3,651.6,1953.0
520 S BURNSIDE AVE,174.8,100.0,192306.0,Multifamily Housing,12.0,10640.4,1951.0
1628 N EL CENTRO AVE,248.4,Not Available,55502.0,Fitness Center/Health Club/Gym,71.3,1738.5,2011.0
735 S BROADWAY,19.6,Not Available,21798.0,Mixed Use Property,14.9,245.4,1908.0
1401 AMBASSADOR ST,1009.7,36.0,351000.0,Multifamily Housing,45.6,8797.1,1989.0
3330 FIGUEROA ST,4.3,Not Available,21696.0,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",3.3,334.4,1965.0
756 S MARIPOSA AVE,366.4,1,24236.0,Multifamily Housing,281.2,1112.4,1928.0
1221 W 3RD ST,342.7,Not Available,283810.0,Multifamily Housing,16.9,18334.8,2006.0
3101 ARTESIAN ST,146,22,22809.0,Office,105.7,279.0,1990.0
1630 N MAIN ST,878.8,Not Available,28800.0,Energy/Power Station,568.0,103.8,1937.0
7821 ORION AVE,1197.1,Not Available,278077.0,Manufacturing/Industrial Plant,66.9,4231.7,1970.0
1630 N MAIN ST,2816.5,Not Available,53156.0,Other - Services,984.9,328.1,1937.0
1111 S FIGUEROA ST,6585.3,Not Available,920000.0,Indoor Arena,112.0,29570.0,1999.0
5898 W VENICE BLVD,60.1,20,12118.0,Office,82.0,205.2,1963.0
6550 VAN NUYS BLVD,66.2,87,38788.0,Office,28.2,49.4,1954.0
10425 IRENE ST,34.2,82,20209.0,Multifamily Housing,29.8,582.0,1970.0
18600 COLLINS ST,23.6,100,21033.0,Multifamily Housing,21.0,892.7,1978.0
7240 N HAYVENHURST PL,430.7,Not Available,57492.0,Transportation Terminal/Station,128.1,1036.1,1993.0
6521 RESEDA BLVD,272.5,70.0,92765.0,Multifamily Housing,46.5,4559.4,1970.0
3030 SHRINE PL,100.4,100,84872.0,Multifamily Housing,20.7,1531.3,1986.0
8220 WOODMAN AVE,67.4,1.0,7250.0,Medical Office,122.5,77.0,1962.0
11999 SAN VICENTE BLVD,206.1,98.0,62768.0,Office,45.3,172.6,1985.0
573 S BOYLE AVE,6612.7,1.0,201409.0,Senior Care Community,402.9,98536.4,1921.0
9453 OWENSMOUTH AVE,141,13,132600.0,Distribution Center,17.7,513.9,1981.0
1223 WALL ST,9.9,Not Available,20025.0,Manufacturing/Industrial Plant,8.2,130.2,1923.0
13150 TELFAIR AVE,993.7,Not Available,157000.0,Manufacturing/Industrial Plant,84.6,2378.4,1989.0
7501 N TYRONE AVE,101.4,Not Available,11425.0,Other,146.9,153.5,1962.0
7044 KESTER AVE,181.4,Not Available,53654.0,Residential Care Facility,55.2,5497.8,1963.0
1300 S SAN PEDRO ST,48.5,Not Available,34500.0,Strip Mall,23.2,545.3,2003.0
8901 BRADLEY AVE,63.8,74.0,55005.0,Non-Refrigerated Warehouse,15.3,1319.4,1988.0
8900 DE SOTO AVE,5691.3,Not Available,705917.0,Manufacturing/Industrial Plant,138.9,13734.2,1958.0
7850 RUFFNER AVE,183.1,15,108162.0,Distribution Center,28.9,445.8,1980.0
7501 N TYRONE AVE,156.8,Not Available,30000.0,Other,86.6,403.3,1962.0
4785 DON MIGUEL DR,66.9,29,21507.0,Multifamily Housing,56.7,997.2,1961.0
11121 W PENDLETON ST,623.8,Not Available,83719.0,Manufacturing/Industrial Plant,115.8,1437.8,2014.0
425 E PICO BLVD,36.9,Not Available,38880.0,Manufacturing/Industrial Plant,15.7,380.8,1923.0
11099 S LA CIENEGA BLVD,479.5,66,221194.0,Office,35.9,3550.3,1994.0
16620 STAGG ST,41.7,62,79744.0,Distribution Center,8.6,446.6,2000.0
4311 WILSHIRE BLVD,247.7,85,100805.0,Office,42.8,1008.2,1974.0
1300 S SAN PEDRO ST,54.3,Not Available,34500.0,Strip Mall,26.0,605.9,2003.0
6701 ETON AVE,768.3,91,269608.0,Multifamily Housing,48.2,12.4,2013.0
20750 W SHERMAN WAY,142.4,91,66739.0,Multifamily Housing,35.8,3033.4,2016.0
348 S HAUSER BLVD,424.4,90.0,154934.0,Multifamily Housing,43.5,1229.4,2005.0
7101 MCKINLEY AVE,18.5,Not Available,28050.0,Manufacturing/Industrial Plant,10.9,139.9,1930.0
675 S ARDMORE AVE,48.7,Not Available,500000.0,Parking,1.6,11621.3,1968.0
3325 S CANFIELD AVE,66.4,58.0,29709.0,Multifamily Housing,36.2,2093.0,2006.0
9545 SAN FERNANDO RD,407.5,7,168000.0,Distribution Center,40.2,778.7,1978.0
5161 LANKERSHIM BLVD,770.7,Not Available,205298.0,Office,52.1,1601.1,1985.0
909 E COLON ST,1021.0,Not Available,223865.0,Manufacturing/Industrial Plant,60.1,1452.3,1973.0
11820 W OLYMPIC BLVD,81.8,Not Available,121316.0,Self-Storage Facility,8.9,220.3,2008.0
10736 MAGNOLIA BLVD,68.6,57,20986.0,Multifamily Housing,55.9,1049.5,2010.0
6320 CANOGA AVE,1512.6,85.0,323709.0,Office,58.0,7764.7,1980.0
130 S MYERS ST,246.1,56,51000.0,Refrigerated Warehouse,79.7,117.6,2004.0
6931 HOLLYWOOD BLVD,751,Not Available,44300.0,Museum,307.3,255.1,2009.0
535 N HAYWORTH AVE,41.5,90,29000.0,Multifamily Housing,25.0,1358.5,1968.0
425 E PICO BLVD,43.2,Not Available,38880.0,Manufacturing/Industrial Plant,18.3,564.8,1923.0
5300 ALLA RD,58.6,81,65736.0,Non-Refrigerated Warehouse,13.4,100.7,1972.0
4055 STEVELY AVE,82.3,70,40000.0,Multifamily Housing,37.4,2459.6,1959.0
323 S CATALINA ST,264.0,95.0,129344.0,Multifamily Housing,31.3,7033.9,1987.0
8561 DE SOTO AVE,18.5,100.0,119973.0,Multifamily Housing,2.0,11382.5,1973.0
7500 N GLENOAKS BLVD,442.8,Not Available,198363.0,College/University,34.4,9614.7,1986.0
946 N CAHUENGA BLVD,29,Not Available,27500.0,Office,14.9,38.2,2001.0
456 S LAKE ST,161.0,96.0,102980.0,Multifamily Housing,23.7,5.2,2008.0
11600 SHERMAN WAY,465.7,92.0,129802.0,Retail Store,42.0,3453.9,1995.0
2140 W OLYMPIC BLVD,164.9,80,96966.0,Office,28.6,430.0,1968.0
5540 W CENTURY BLVD,10.5,100,75000.0,Distribution Center,2.3,18.7,1953.0
21501 ROSCOE BLVD,236.2,96,103927.0,Multifamily Housing,36.5,4596.0,2014.0
9425 CANOGA AVE,33.6,68,98786.0,Non-Refrigerated Warehouse,5.6,742.1,1985.0
7333 WORLD WAY WEST,205.2,79,64947.0,Office,50.8,1096.8,1982.0
1223 WALL ST,18.5,Not Available,20025.0,Manufacturing/Industrial Plant,15.2,239.4,1923.0
559 S BROADWAY,14.4,Not Available,8900.0,Other,26.7,236.4,1920.0
920 E 12TH ST,3.1,Not Available,43300.0,Other - Mall,1.2,272.1,1991.0
535 W 135TH ST,143,Not Available,25850.0,Manufacturing/Industrial Plant,84.3,169.1,1971.0
21411 PRAIRIE ST,612.2,2,93120.0,Distribution Center,110.1,3352.0,1979.0
418 E EDGEWARE RD,292.2,94.0,169920.0,Multifamily Housing,26.7,7479.0,1995.0
729 E TEMPLE ST,45.9,67,69135.0,Non-Refrigerated Warehouse,11.0,123.7,1941.0
3901 W 7TH ST,51.3,61,20052.0,Multifamily Housing,46.6,2162.6,1955.0
7501 N TYRONE AVE,111.7,41,22100.0,Office,89.1,305.6,2007.0
1875 CENTURY PARK EAST,2223.9,96,904927.0,Office,36.0,652.4,1981.0
1205 N MCCADDEN PL,56.4,97,26703.0,Multifamily Housing,35.6,1104.1,1989.0
3270 OAKSHIRE DR,100.7,35.0,27237.0,Multifamily Housing,63.1,1419.4,1963.0
1745 WILCOX AVE,602.9,51.0,68872.0,Multifamily Housing,129.9,7449.1,1989.0
235 S VENDOME ST,31.2,100,22992.0,Multifamily Housing,25.1,1394.4,1914.0
810 S FLOWER ST,628.4,61.0,237962.0,Multifamily Housing,38.9,6518.5,1924.0
8540 CEDROS AVE,0.6,100.0,75400.0,Non-Refrigerated Warehouse,3.0,601.0,2009.0
15433 VENTURA BLVD,626.6,56.0,129500.0,Hotel,63.8,5766.7,1968.0
11300 PEORIA ST,19.9,83,32412.0,Distribution Center,10.2,95.0,1971.0
2140 W OLYMPIC BLVD,151.7,83,96966.0,Office,26.3,364.9,1968.0
6100 BLACKBURN AVE,294.2,17.0,66824.0,Multifamily Housing,79.3,4020.0,1951.0
21100 S WESTERN AVE,3256.5,Not Available,124337.0,Manufacturing/Industrial Plant,455.9,11667.3,1940.0
7124 VALJEAN AVE,41,95,25448.0,Multifamily Housing,23.5,1963.6,1962.0
11811 W OLYMPIC BLVD,109.5,85,50000.0,K-12 School,34.0,611.3,1974.0
550 S HOPE ST,962.8,97,655641.0,Office,21.4,3171.6,1990.0
430 S GRAND VIEW ST,59,88,23339.0,Multifamily Housing,42.0,1803.6,1989.0
4560 FOUNTAIN AVE,50.7,66,29815.0,Multifamily Housing,29.2,614.2,1980.0
757 S FLOWER ST,58.3,Not Available,1.0,Parking,34.9,41.7,1948.0
430 S FULLER AVE,480.5,86,192306.0,Multifamily Housing,44.4,8377.3,1951.0
1321 N SYCAMORE AVE,115.8,19,32121.0,Multifamily Housing,66.1,1713.8,1987.0
1414 S GRAMERCY PL,75.8,100,53055.0,Multifamily Housing,25.9,2144.7,1986.0
3230 OVERLAND AVE,157.1,93,84786.0,Multifamily Housing,31.1,3096.9,1969.0
5711 W CENTURY BLVD,5452.0,43.0,879600.0,Hotel,95.7,45623.5,1983.0
4102 W 5TH ST,25.1,Not Available,21927.0,Multifamily Housing,21.2,1695.7,1959.0
12005 ALBERS ST,351.8,97.0,153481.0,Multifamily Housing,35.2,5723.3,2014.0
6842 VAN NUYS BLVD,115.5,100,167393.0,Office,11.4,283.5,1963.0
14355 HUSTON ST,141.4,75,46186.0,Multifamily Housing,52.1,1745.2,1969.0
421 S HOBART BLVD,8.6,Not Available,41000.0,Multifamily Housing,3.2,1644.4,1971.0
5959 W CENTURY BLVD,148.3,Not Available,226150.0,Office,8.9,2206.9,1966.0
3715 MOTOR AVE,80.8,40,47548.0,Multifamily Housing,27.8,1369.6,2004.0
11825 MAGNOLIA BLVD,85.7,86,35378.0,Multifamily Housing,43.1,1596.3,1979.0
10010 S INTERNATIONAL ROAD,40.4,Not Available,9400.0,Fire Station,64.0,382.5,2001.0
3623 JASMINE AVE,80,96,49680.0,Multifamily Housing,26.4,1888.1,2001.0
6805 LOUISE AVE,248.7,59.0,70937349.0,Multifamily Housing,52.6,2129.0,1976.0
5038 HAZELTINE AVE,86,44,31206.0,Multifamily Housing,46.4,961.2,1970.0
10523 FLORALITA AVE,8,Not Available,24234.0,Multifamily Housing,5.8,1536.4,1986.0
6724 HOLLYWOOD BLVD,125.0,38.0,34000.0,Residence Hall/Dormitory,50.8,235.2,1928.0
4001 N MISSION RD,171.1,87.0,89986.0,Multifamily Housing,30.2,5065.8,1988.0
8333 VAN NUYS BLVD,821.0,Not Available,142082.0,Retail Store,76.3,4960.6,1998.0
21040 NORDHOFF ST,31.7,85,51194.0,Distribution Center,9.3,652.3,1965.0
17037 DEVONSHIRE ST,24.9,58,27000.0,Worship Facility,15.3,45.6,2005.0
19481 HARBORGATE WAY,27.0,90.0,73555.0,Non-Refrigerated Warehouse,5.2,1027.8,2002.0
4370 WORTH ST,15.9,Not Available,34000.0,Manufacturing/Industrial Plant,8.6,180.3,1920.0
1115 W SUNSET BLVD,12.8,Not Available,40000.0,Office,5.3,546.8,1906.0
950 S GRAND AVE,1674.4,56.0,300459.0,Financial Office,78.2,4892.0,1986.0
11854 LA GRANGE AVE,375.3,89.0,134369.0,Office,36.9,2999.7,1985.0
2511 W 3RD ST,96.2,Not Available,32527.0,Office,44.6,3244.8,1962.0
11640 MAYFIELD AVE,131.6,88.0,59332.0,Multifamily Housing,35.3,1881.4,2006.0
6050 S WESTERN AVE,154.2,76,77594.0,Multifamily Housing,35.3,6546.5,2000.0
11411 DRONFIELD AVE,126.5,36,42448.0,Multifamily Housing,53.0,5276.0,1987.0
10853 ROSE AVE,131.6,94,69610.0,Multifamily Housing,33.6,4385.8,1972.0
1812 S NEW HAMPSHIRE AVE,80.8,Not Available,26711.0,Strip Mall,50.0,778.7,1988.0
21616 CALIFA ST,195.4,34,71500.0,Multifamily Housing,44.9,1204.4,1978.0
13217 S FIGUEROA ST,28.9,96.0,125785.0,Distribution Center,3.0,576.0,1974.0
12312 W CULVER BLVD,331.2,Not Available,32921.0,Police Station,150.5,1324.4,1990.0
130 S LA FAYETTE PARK PL,68.3,97,46208.0,Multifamily Housing,24.7,2423.8,1999.0
325 W 8TH ST,322.5,37,146664.0,Multifamily Housing,34.4,2731.1,1928.0
12575 BEATRICE ST,53.8,25,23072.0,Office,35.2,819.9,1969.0
3405 ARLINGTON AVE,81.7,80,39910.0,Multifamily Housing,35.3,1008.4,2003.0
432 S HARVARD BLVD,121.8,89.0,61029.0,Multifamily Housing,33.8,4106.1,1970.0
3641 MIDVALE AVE,37.8,99,22998.0,Multifamily Housing,29.4,726.4,1987.0
327 S NORMANDIE AVE,79,40,28621.0,Multifamily Housing,48.2,2429.7,1960.0
14540 BLYTHE ST,157.6,75,57057.0,Multifamily Housing,48.0,4313.3,1994.0
200 S GRAND AVE,1208.9,Not Available,416000.0,College/University,42.4,744.6,1997.0
3829 S BROADWAY,58.4,62.0,61961.0,Distribution Center,12.4,40.2,1975.0
1050 S WESTMORELAND AVE,75.2,57,25525.0,Multifamily Housing,49.9,2439.4,1987.0
1301 S MAIN ST,19.4,100,29975.0,Retail Store,10.7,416.7,2003.0
9851 OWENSMOUTH AVE,69.5,Not Available,37535.0,Distribution Center,29.1,332.9,1980.0
1818 S WESTERN AVE,38.3,Not Available,45270.0,Mixed Use Property,14.0,35.3,1971.0
3017 N SAN FERNANDO RD,19.2,Not Available,70658.0,Self-Storage Facility,3.3,539.0,1985.0
10139 WOODLEY AVE,202.4,54.0,94505.0,Multifamily Housing,30.7,3960.2,1971.0
400 S FLOWER ST,461.3,Not Available,916126.0,Parking,5.8,361.3,1970.0
5340 S ALLA RD,138.6,97,131942.0,Office,17.4,856.2,1973.0
11620 SHERMAN WAY,72.8,Not Available,194008.0,Self-Storage Facility,4.3,90.0,2001.0
9060 WINNETKA AVE,682.1,Not Available,36000.0,Manufacturing/Industrial Plant,276.8,2190.3,1963.0
9000 AIRPORT BLVD,75.2,Not Available,13062.0,Retail Store,66.4,12562.0,2000.0
17107 S FIGUEROA ST,2.6,Not Available,46520.0,Self-Storage Facility,0.8,93.0,1990.0
21032 DEVONSHIRE ST,65.2,Not Available,31000.0,Mixed Use Property,30.7,513.9,1981.0
21320 DEERING CT,20.5,52,23095.0,Non-Refrigerated Warehouse,14.6,406.2,1998.0
5905 N VAN NUYS BLVD,458.1,Not Available,95145.0,Automobile Dealership,63.5,3055.0,2011.0
217 E 8TH ST,136.1,Not Available,65454.0,Multifamily Housing,33.6,4310.4,1926.0
11940 MAGNOLIA BLVD,25.1,100,42891.0,Multifamily Housing,9.7,2733.0,1987.0
508 E 8TH ST,138,Not Available,117674.0,Other,17.1,1546.2,1924.0
12901 W JEFFERSON BLVD,130.5,76,48412.0,Office,44.5,107.6,1969.0
7100 FLIGHT AVE,45.9,94,22308.0,Multifamily Housing,34.4,978.5,2007.0
351 S FULLER AVE,490.4,83,192306.0,Multifamily Housing,45.1,9681.3,1951.0
235 S HILL ST,74.4,Not Available,275000.0,Parking,3.6,241.7,1990.0
11361 W PICO BLVD,196.8,Not Available,23063.0,Other - Public Services,134.8,1931.6,1990.0
11771 MONTANA AVE,113.2,94.0,110269.0,Multifamily Housing,13.6,2350.4,2010.0
261 S KINGSLEY DR,136.7,51,37567.0,Medical Office,60.1,1535.8,1965.0
1200 N MANSFIELD AVE,83.1,99.0,110000.0,Multifamily Housing,10.0,1900.8,1988.0
10803 AVALON BLVD,130.7,74,69943.0,Multifamily Housing,30.2,3251.8,2003.0
772 N VAN NESS AVE,86.9,17,28104.0,Multifamily Housing,52.2,1924.0,1927.0
14265 VAN NUYS BLVD,230.0,Not Available,128000.0,Multifamily Housing,23.7,8634.8,1973.0
1850 WHITLEY AVE,1052.3,2.0,191098.0,Multifamily Housing,86.7,9259.3,1959.0
864 S NEW HAMPSHIRE AVE,164.4,89,78936.0,Multifamily Housing,34.7,2952.6,1989.0
5348 NEWCASTLE AVE,149.4,72,70506.0,Multifamily Housing,37.2,2398.3,1969.0
16333 RAYMER ST,19.5,Not Available,39000.0,Distribution Center,8.3,498.2,2007.0
901 E 8TH ST,30,Not Available,24000.0,Manufacturing/Industrial Plant,20.7,104.7,1912.0
621 S UNION AVE,142.5,3,32204.0,Multifamily Housing,80.6,4895.3,1913.0
444 S FLOWER ST,3459.7,95.0,1087180.0,Office,38.0,13162.9,1981.0
7063 N LAUREL CANYON BLVD,10.2,Not Available,8447.0,Fire Station,17.5,109.1,2004.0
9224 N SUNLAND BLVD,70.9,Not Available,16236.0,Fire Station,67.5,530.2,2005.0
327 S AVENUE 60,66.3,53,22910.0,Multifamily Housing,48.9,1778.9,1963.0
20701 PLUMMER ST,64.6,Not Available,135465.0,Self-Storage Facility,6.3,246.1,1964.0
745 S BROADWAY,17.8,100,67200.0,Office,4.4,77.0,1913.0
15711 ROSCOE BLVD,76.1,98,29202.0,Hotel,38.0,5481.7,1979.0
3669 WESTWOOD BLVD,26.2,100,28062.0,Multifamily Housing,15.8,529.6,1976.0
1320 N SIERRA BONITA AVE,52.1,92,39348.0,Multifamily Housing,22.2,1522.3,1987.0
11683 GOSHEN AVE,43.3,82,27513.0,Multifamily Housing,28.2,789.2,1972.0
1220 N LAS PALMAS AVE,77.8,89,36000.0,Multifamily Housing,38.4,1512.6,1988.0
260 S AVENUE 54,63.8,42,30738.0,Multifamily Housing,33.8,1303.9,1991.0
2117 S BUTLER AVE,16.2,Not Available,7940.0,Fire Station,30.1,238.4,2010.0
4585 ELECTRONICS PL,333.3,Not Available,98000.0,Performing Arts,49.3,687.5,1965.0
6835 VARIEL AVE,76.9,93,34500.0,Multifamily Housing,36.6,1382630.4,1964.0
5814 RESEDA BLVD,229.2,52,76385.0,Multifamily Housing,52.0,3007.9,1970.0
3198 W 7TH ST,197.5,53.0,73458.0,Multifamily Housing,42.7,2542.5,1926.0
1201 N BROADWAY,70,57,25585.0,Office,41.5,61.3,1924.0
11805 W SHELDON ST,53.9,94,41172.0,Office,21.6,81.2,2000.0
11675 SAN VICENTE BLVD,172.2,Not Available,63554.0,Mixed Use Property,31.5,4366.8,1982.0
356 S VERMONT AVE,175,Not Available,37761.0,Bowling Alley,72.3,1315.9,1961.0
6400 FRANKLIN AVE,68.5,96,48518.0,Residence Hall/Dormitory,24.0,1549.0,1928.0
11115 HARTSOOK ST,4.1,100,24789.0,Multifamily Housing,2.4,737.9,2011.0
8585 BURTON WAY,60.9,73,34608.0,Multifamily Housing,27.7,629.1,1971.0
11105 S LA CIENEGA BLVD,381.5,28,34300.0,Refrigerated Warehouse,183.9,916.4,1956.0
1394 S SEPULVEDA BLVD,23.2,47,12207.0,Non-Refrigerated Warehouse,31.4,228.3,1940.0
1607 N MCCADDEN PL,50.1,33,24226.0,Non-Refrigerated Warehouse,34.5,199.0,1995.0
13603 MARINA POINTE DR,1239.6,81.0,497900.0,Multifamily Housing,34.7,21734.6,1993.0
1336 N LA BREA AVE,59.8,Not Available,31302.0,Other - Education,32.7,70.3,1977.0
971 ELDEN AVE,117.2,30,38731.0,Multifamily Housing,51.3,4679.1,1963.0
1100 S FLOWER ST,319.1,39.0,60000.0,Office,70.1,2176.8,1999.0
303 S PACIFIC AVE,130.3,75.0,64873.0,Multifamily Housing,32.7,2428.9,2000.0
1405 JAMES M WOOD BLVD,38.1,99.0,28673.0,Multifamily Housing,19.5,2308.3,2006.0
12760 W MILLENIUM BLVD,339.8,1.0,88842.0,Multifamily Housing,50.9,3184.0,2015.0
8609 WILLIS AVE,88.6,73,30676.0,Multifamily Housing,50.1,2951.8,1963.0
20101 HAMILTON AVE,553.6,92,236599.0,Office,37.2,2291.9,1984.0
21030 GRESHAM ST,202.0,97.0,153921.0,Multifamily Housing,17.3,5883.4,1986.0
7427 N RESEDA BLVD,65.8,Not Available,9270.0,Fire Station,112.9,368.2,1989.0
21350 LASSEN ST,151.2,Not Available,126000.0,Manufacturing/Industrial Plant,17.0,917.4,1968.0
6221 WILSHIRE BLVD,320,24,55488.0,Office,100.1,1556.7,1957.0
11240 SHERMAN WAY,914.7,1,78000.0,Non-Refrigerated Warehouse,174.9,2093.8,1980.0
11811 W OLYMPIC BLVD,99.6,79,50000.0,K-12 School,33.4,735.3,1974.0
9453 OWENSMOUTH AVE,54.5,91.0,132600.0,Distribution Center,5.4,3028.1,1981.0
21200 LASSEN ST,89.0,39.0,53800.0,Distribution Center,21.8,718.1,1982.0
5636 STROHM AVE,60.9,50,23430.0,Multifamily Housing,46.4,1459.4,1990.0
7332 ETHEL AVE,206.7,Not Available,74182.0,Manufacturing/Industrial Plant,46.1,2270.3,1957.0
3715 MOTOR AVE,86.5,37,47548.0,Multifamily Housing,29.4,1325.0,2004.0
5000 VAN NUYS BLVD,408.0,74.0,83048.0,Office,69.8,1471.4,1982.0
5539 RIVERTON AVE,4.1,100,45000.0,Office,1.7,118.9,1961.0
5311 DENNY AVE,56.6,68,20249.0,Multifamily Housing,47.0,1512.6,2010.0
1811 WHITLEY AVE,145,70,43264.0,Multifamily Housing,61.1,1692.8,1929.0
1081 WESTWOOD BLVD,16.9,100,28391.0,Bank Branch,9.8,43.4,1930.0
19350 SATICOY ST,92.8,52,35036.0,Multifamily Housing,46.2,1893.3,1988.0
4645 STONER AVE,100.4,83,46128.0,Multifamily Housing,39.2,2574.0,1958.0
6726 WOODLEY AVE,76.3,81,35415.0,Multifamily Housing,36.1,2149.9,1985.0
4737 ORION AVE,77.4,42,21980.0,Multifamily Housing,63.1,1129.6,1964.0
11919 CULVER BLVD,79.6,48,33987.0,Multifamily Housing,38.4,1116.1,1989.0
10025 DE SOTO AVE,147.8,99,71112.0,Multifamily Housing,35.1,4125.3,1979.0
624 S GRAND AVE,7074.3,Not Available,661553.0,Data Center,141.0,30803.2,1965.0
15500 ROSCOE BLVD,275.6,Not Available,103355.0,Automobile Dealership,44.4,2886.0,2002.0
1541 N LAUREL AVE,47.8,90,31347.0,Multifamily Housing,26.4,1048.8,1980.0
300 ROSE AVE,46.1,99,67570.0,Office,10.3,113.0,1978.0
1210 N CHEROKEE AVE,196.5,100.0,191488.0,Multifamily Housing,16.8,3784.4,1988.0
6922 HOLLYWOOD BLVD,1125.8,69.0,162800.0,Office,97.9,4109.9,1967.0
400 S FLOWER ST,279.2,Not Available,916126.0,Parking,4.0,452.6,1970.0
1156 S CLARK DR,51.9,96,32174.0,Multifamily Housing,25.7,1113.3,1988.0
10535 ROSE AVE,56.8,91,29460.0,Multifamily Housing,32.3,1132.6,1970.0
450 S GRAND VIEW ST,372.1,63,141286.0,Multifamily Housing,41.4,812.3,1976.0
3630 W WATT WAY,594.2,Not Available,92945.0,College/University,101.2,569.3,2012.0
340 N MADISON AVE,142.9,19,37949.0,Multifamily Housing,68.3,1466.2,1968.0
21032 DEVONSHIRE ST,120.7,Not Available,31000.0,Mixed Use Property,64.3,593.2,1981.0
426 E 7TH ST,66.5,Not Available,14285.0,Fire Station,71.3,599.4,1960.0
415 S OCCIDENTAL BLVD,70.1,96,37855.0,Multifamily Housing,32.7,1075.0,1967.0
4575 E HUNTINGTON DR SOUTH,53.4,Not Available,17372.0,Fire Station,48.0,222.1,1981.0
7735 HOLLYWOOD BLVD,10.8,100,40784.0,Multifamily Housing,4.0,1993.6,1947.0
1995 E 20TH ST,506.7,68.0,121966.0,Refrigerated Warehouse,55.0,1962.1,1959.0
8040 RESEDA BLVD,245.1,18.0,58320.0,Multifamily Housing,69.8,6156.5,1969.0
11109 OTSEGO ST,67.8,96,48438.0,Multifamily Housing,24.5,1939.7,1989.0
2801 E 12TH ST,35.9,82,71000.0,Distribution Center,8.9,115.5,1933.0
